,w,k,init_alpha,alpha,iters,final_dtv
31,4.0,10.0,0.5,0.2591163781732563,100.0,0.5032548007413087
32,4.0,10.0,0.6,0.09850589199211282,100.0,0.7222532555239352
33,4.0,10.0,0.7,0.1901867538989936,100.0,0.5737799728117936
34,4.0,10.0,0.8,0.3984748622863009,100.0,0.36389700310460804
35,4.0,10.0,0.9,0.17978484958881633,100.0,0.4919813854169856
36,4.0,100.0,0.1,0.1965978537701561,100.0,0.23715651351308575
37,4.0,100.0,0.2,0.24894401806375532,100.0,0.28314422720808724
38,4.0,100.0,0.3,0.47229205570071026,100.0,0.308947573441817
39,4.0,100.0,0.4,0.4400636300178284,100.0,0.1081512573033137
40,4.0,100.0,0.5,0.40475590315410254,100.0,0.09234003208667324
41,4.0,100.0,0.6,0.34798650020070604,100.0,0.2120054393168343
42,4.0,100.0,0.7,0.6864578443516595,100.0,0.09806357656994627
43,4.0,100.0,0.8,0.907690045537779,100.0,0.09715757699515742
44,4.0,100.0,0.9,0.8744347729886859,100.0,0.09746710105563348
45,4.0,1000.0,0.1,0.1476278540167163,100.0,0.10665123101395095
46,4.0,1000.0,0.2,0.24677689005839223,100.0,0.06249120515103831
47,4.0,1000.0,0.3,0.31251726149681297,100.0,0.04277483251355377
48,4.0,1000.0,0.4,0.43526698751514276,100.0,0.03428660389086431
49,4.0,1000.0,0.5,0.6772952509208701,100.0,0.060998322043293626
50,4.0,1000.0,0.6,0.6454648508153827,100.0,0.03134908345509853
51,4.0,1000.0,0.7,0.6904087515569551,100.0,0.012222718355069152
52,4.0,1000.0,0.8,0.7780163666081025,100.0,0.028229274530093024
53,4.0,1000.0,0.9,0.8140754478027539,100.0,0.042981161423054026
54,10.0,10.0,0.1,0.3979275624692492,100.0,0.5230832283327765
55,10.0,10.0,0.2,0.5895434767086749,100.0,0.5016343083695459
56,10.0,10.0,0.3,0.39917401665712354,100.0,0.518230139982991
57,10.0,10.0,0.4,0.5983841179353455,100.0,0.3229602364044671
58,10.0,10.0,0.5,0.5981225436102972,100.0,0.3498034732429182
59,10.0,10.0,0.6,,100.0,
60,10.0,10.0,0.7,0.5927617412827443,100.0,0.2719260925440732
61,10.0,10.0,0.8,,100.0,
62,10.0,10.0,0.9,,100.0,
63,10.0,100.0,0.1,0.2184212925368039,100.0,0.21503491780424297
64,10.0,100.0,0.2,0.21150706823110646,100.0,0.19820725328058658
65,10.0,100.0,0.3,0.3551491695660435,100.0,0.13128104068012683
66,10.0,100.0,0.4,0.2549420189358982,100.0,0.4930015595241409
67,10.0,100.0,0.5,0.41527471251075426,100.0,0.10172172777242211
68,10.0,100.0,0.6,0.5387645652874657,100.0,0.0942569438609695
69,10.0,100.0,0.7,0.6040436832493631,100.0,0.08442407002661595
70,10.0,100.0,0.8,0.7340889817249273,100.0,0.06979477455685668
71,10.0,100.0,0.9,0.8312481768910633,100.0,0.07276405572772543
72,10.0,1000.0,0.1,0.09326646224043054,100.0,0.06270516301984183
73,10.0,1000.0,0.2,0.19490912821443834,100.0,0.045338848371799384
74,10.0,1000.0,0.3,0.31757033403419566,100.0,0.03312588753623939
75,10.0,1000.0,0.4,0.3838831122418867,100.0,0.02958518076574925
76,10.0,1000.0,0.5,0.5064376574227125,100.0,0.026913647703256268
77,10.0,1000.0,0.6,0.603927768078415,100.0,0.024091180130369982
78,10.0,1000.0,0.7,0.7166658233101356,100.0,0.018462769289338196
79,10.0,1000.0,0.8,0.7675390856129906,100.0,0.029187739735221915
80,10.0,1000.0,0.9,0.8918170019608622,100.0,0.021364616853852745
81,30.0,10.0,0.1,0.6999203495178611,100.0,0.4667174796826371
82,30.0,10.0,0.2,0.09999999999999884,100.0,0.7335692363936582
83,30.0,10.0,0.3,0.3999999984631694,100.0,0.36652575241201973
84,30.0,10.0,0.4,0.8970481295026665,100.0,0.29963462685336817
85,30.0,10.0,0.5,0.39999786660791087,100.0,0.4108221506744399
86,30.0,10.0,0.6,0.49982191417138716,100.0,0.3262123001697855
87,30.0,10.0,0.7,0.6999751839806767,100.0,0.22728070417141952
88,30.0,10.0,0.8,0.49999865482989014,100.0,0.2623404526934741
89,30.0,10.0,0.9,0.39999997353339983,100.0,0.32805049294116967
90,30.0,100.0,0.1,0.12901839786393002,100.0,0.20946983285386117
91,30.0,100.0,0.2,0.2294376184409323,100.0,0.12411045185137458
92,30.0,100.0,0.3,0.3620498700689831,100.0,0.1272194317744325
93,30.0,100.0,0.4,0.29984153628362975,100.0,0.10998197975300104
94,30.0,100.0,0.5,0.5342083411202738,100.0,0.07766089271178761
95,30.0,100.0,0.6,0.5656610302671629,100.0,0.0917581679540284
96,30.0,100.0,0.7,0.697432189999728,100.0,0.08243270451880942
97,30.0,100.0,0.8,0.7452327907259166,100.0,0.0759763077836486
98,30.0,100.0,0.9,0.019999999999506985,100.0,0.4896522090446688
99,30.0,1000.0,0.1,0.10098965473669451,100.0,0.06129687326207657
100,30.0,1000.0,0.2,0.2231247704462793,100.0,0.04063755231124897
101,30.0,1000.0,0.3,0.3276282456846631,100.0,0.03543031239393073
102,30.0,1000.0,0.4,0.4007448253531805,100.0,0.03289080882126035
103,30.0,1000.0,0.5,0.48133992589137803,100.0,0.02508763639583896
104,30.0,1000.0,0.6,0.6093559611694768,100.0,0.028042977698982296
105,30.0,1000.0,0.7,0.7122297589535453,100.0,0.024272375233933396
106,30.0,1000.0,0.8,0.8030038804902901,100.0,0.020040059531049398
107,30.0,1000.0,0.9,0.8865605301753978,100.0,0.020669832428244723
108,50.0,10.0,0.1,0.499999876621792,100.0,0.32466236398701315
109,50.0,10.0,0.2,0.49999947960437713,100.0,0.32004950904221424
110,50.0,10.0,0.3,0.6999995429108185,100.0,0.35975995088589874
111,50.0,10.0,0.4,0.6999821868725418,100.0,0.36464835433854315
112,50.0,10.0,0.5,0.5999938372815575,100.0,0.3036591798000288
113,50.0,10.0,0.6,0.49999999409234697,100.0,0.37221689862789326
114,50.0,10.0,0.7,0.6992992596478784,100.0,0.2506750109304841
115,50.0,10.0,0.8,0.5999999997304684,100.0,0.24503549352070778
116,50.0,10.0,0.9,0.4999999999972441,100.0,0.31818737803519254
117,50.0,100.0,0.1,0.11999999919841565,100.0,0.21346742100593283
118,50.0,100.0,0.2,0.27578151422780167,100.0,0.18138479966330562
119,50.0,100.0,0.3,0.24984800155694717,100.0,0.11799625146662962
