,w,k,init_alpha,alpha,iters,final_dtv
0,3.0,10.0,0.1,0.4732182546921594,100.0,0.5177889219298596
1,3.0,10.0,0.2,0.35180409407059565,100.0,0.39711564680007394
2,3.0,10.0,0.3,0.34550246100226345,100.0,0.12898868770571126
3,3.0,10.0,0.4,0.48506461361623787,100.0,0.43931828039432713
4,3.0,10.0,0.5,0.3655021566945338,100.0,0.373864714141663
5,3.0,10.0,0.6,0.46534283203018856,100.0,0.5178463449652435
6,3.0,10.0,0.7,0.8,100.0,0.26331040717130055
7,3.0,10.0,0.8,0.8462557153892052,100.0,0.28045770189212094
8,3.0,10.0,0.9,0.48498147471365505,100.0,0.4081298988373371
9,3.0,100.0,0.1,0.55040570003957,100.0,0.3177959658855784
10,3.0,100.0,0.2,0.27164723227562837,100.0,0.11866155190935786
11,3.0,100.0,0.3,0.6466800634828707,100.0,0.30508053867068724
12,3.0,100.0,0.4,0.7109437690230149,100.0,0.13045931404662048
13,3.0,100.0,0.5,0.7087061277419754,100.0,0.18941748555826232
14,3.0,100.0,0.6,0.46171342088536266,100.0,0.11572549805656909
15,3.0,100.0,0.7,0.49892411538144715,100.0,0.127370717794168
16,3.0,100.0,0.8,0.815504923736585,100.0,0.0991557385781777
17,3.0,100.0,0.9,0.7397879503868866,100.0,0.11761608623424977
18,3.0,1000.0,0.1,0.6192888018368438,100.0,0.22257940974389007
19,3.0,1000.0,0.2,0.26003227772975707,100.0,0.09012532159139278
20,3.0,1000.0,0.3,0.2741916909391975,100.0,0.035577300862180555
21,3.0,1000.0,0.4,0.720174768734877,100.0,0.14975058487012616
22,3.0,1000.0,0.5,0.567209587424853,100.0,0.028640741146895347
23,3.0,1000.0,0.6,0.6664852644574685,100.0,0.03292025592168088
24,3.0,1000.0,0.7,0.7026738555503288,100.0,0.03151482031639902
25,3.0,1000.0,0.8,0.8301599304347961,100.0,0.022119169713448565
26,3.0,1000.0,0.9,0.5818579118699337,100.0,0.09834255444714611
27,4.0,10.0,0.1,0.3740300739229454,100.0,0.4392784115223133
28,4.0,10.0,0.2,0.3805885432646851,100.0,0.5068705974564989
29,4.0,10.0,0.3,0.43450685571818415,100.0,0.33532332265241405
30,4.0,10.0,0.4,0.7,100.0,0.22797516018272174
31,4.0,10.0,0.5,0.2338114828328101,100.0,0.39217375195586035
32,4.0,10.0,0.6,0.8986106934618681,100.0,0.31281032238514495
33,4.0,10.0,0.7,0.195753256066819,100.0,0.4423580919183895
34,4.0,10.0,0.8,0.7922711541674488,100.0,0.2943742384298176
35,4.0,10.0,0.9,0.46491836516560286,100.0,0.3255290223304107
36,4.0,100.0,0.1,0.8353620726741068,100.0,0.23153903154082395
37,4.0,100.0,0.2,0.1741083250404041,100.0,0.2368037887218378
38,4.0,100.0,0.3,0.6153805380419859,100.0,0.12276667672789557
39,4.0,100.0,0.4,0.5246951292326743,100.0,0.0878777287375134
40,4.0,100.0,0.5,0.2583469391195928,100.0,0.13725292275566342
41,4.0,100.0,0.6,0.7607154539924736,100.0,0.11540010116898052
42,4.0,100.0,0.7,0.6015677664243575,100.0,0.08211430105614434
43,4.0,100.0,0.8,0.7452372531690237,100.0,0.13287083154292048
44,4.0,100.0,0.9,0.6459850133115225,100.0,0.1023551747642674
45,4.0,1000.0,0.1,0.19183246766698797,100.0,0.11930821862936188
46,4.0,1000.0,0.2,0.25943641875409057,100.0,0.07813276188089528
47,4.0,1000.0,0.3,0.35595654021907597,100.0,0.039983594822720056
48,4.0,1000.0,0.4,0.42638835687938426,100.0,0.03310612357467986
49,4.0,1000.0,0.5,0.7936803666621743,100.0,0.09965004889669068
50,4.0,1000.0,0.6,0.5711714002977102,100.0,0.04327259750689094
51,4.0,1000.0,0.7,0.7160143703571602,100.0,0.024160941641736048
52,4.0,1000.0,0.8,0.7965893040001067,100.0,0.02939443794911607
53,4.0,1000.0,0.9,0.8409875606048226,100.0,0.03945918395270801
54,10.0,10.0,0.1,0.5948001414199068,100.0,0.303304073492308
55,10.0,10.0,0.2,0.5954055357308992,100.0,0.36531800063939507
56,10.0,10.0,0.3,0.49305779302409636,100.0,0.3516158529557425
57,10.0,10.0,0.4,0.4983365358402095,100.0,0.46858294063290007
58,10.0,10.0,0.5,0.6931835570746312,100.0,0.28837530620050045
59,10.0,10.0,0.6,0.6815021540760783,100.0,0.31404187353915086
60,10.0,10.0,0.7,,100.0,
61,10.0,10.0,0.8,,100.0,
62,10.0,10.0,0.9,0.8979731312983201,100.0,0.2965369960471171
63,10.0,100.0,0.1,0.6957534879943412,100.0,0.2817491926865399
64,10.0,100.0,0.2,0.33387286370309915,100.0,0.1783375993223176
65,10.0,100.0,0.3,0.2588645703888565,100.0,0.16384360988245744
66,10.0,100.0,0.4,0.5783822461007291,100.0,0.07462838707359508
67,10.0,100.0,0.5,0.4864558560338482,100.0,0.05296555845405788
68,10.0,100.0,0.6,0.6697617482115593,100.0,0.08908526219102715
69,10.0,100.0,0.7,0.5663348727360742,100.0,0.10341402358301224
70,10.0,100.0,0.8,0.842843709781984,100.0,0.0657193241462165
71,10.0,100.0,0.9,0.9554741739496941,100.0,0.08201893652783257
72,10.0,1000.0,0.1,0.12212608556156078,100.0,0.08118933704728133
73,10.0,1000.0,0.2,0.19947363086298722,100.0,0.05539505828502512
74,10.0,1000.0,0.3,0.31528218127794333,100.0,0.03398199649641483
75,10.0,1000.0,0.4,0.3768048400976294,100.0,0.03399492440764206
76,10.0,1000.0,0.5,0.4877821352102895,100.0,0.028094274833684582
77,10.0,1000.0,0.6,0.6517636534661607,100.0,0.029113336356009812
78,10.0,1000.0,0.7,0.707946892131997,100.0,0.018561128234693195
79,10.0,1000.0,0.8,0.7997620682701156,100.0,0.022725122046033535
80,10.0,1000.0,0.9,0.8885602848200201,100.0,0.018618705562752736
81,30.0,10.0,0.1,,100.0,
82,30.0,10.0,0.2,,100.0,
83,30.0,10.0,0.3,,100.0,
84,30.0,10.0,0.4,,100.0,
85,30.0,10.0,0.5,0.8,100.0,0.22516357310301707
86,30.0,10.0,0.6,0.7997272411059131,100.0,0.2224945654829328
87,30.0,10.0,0.7,0.8999999999999891,100.0,0.20804643241919918
88,30.0,10.0,0.8,0.7999991263947065,100.0,0.20969555662640033
89,30.0,10.0,0.9,,100.0,
90,30.0,100.0,0.1,0.11999424217935395,100.0,0.1789308781915935
91,30.0,100.0,0.2,0.1985714209850721,100.0,0.13310073367033473
92,30.0,100.0,0.3,0.23900583832744368,100.0,0.15949229949520288
93,30.0,100.0,0.4,0.3390219113830771,100.0,0.11552019390042893
94,30.0,100.0,0.5,0.5103917336698296,100.0,0.10368579829192089
95,30.0,100.0,0.6,0.5799999972950043,100.0,0.07399943617935666
96,30.0,100.0,0.7,0.6992685525848357,100.0,0.08208956388347775
97,30.0,100.0,0.8,0.8376165718082227,100.0,0.08119036136211623
98,30.0,100.0,0.9,0.9199615523279475,100.0,0.05715505247143165
99,30.0,1000.0,0.1,0.09204337327820106,100.0,0.0648537294351337
100,30.0,1000.0,0.2,0.20129511539991213,100.0,0.05003976228379328
101,30.0,1000.0,0.3,0.32712402038828065,100.0,0.02528828712856503
102,30.0,1000.0,0.4,0.40695392415904397,100.0,0.032543853306509156
103,30.0,1000.0,0.5,0.487012092230076,100.0,0.026633033117718988
104,30.0,1000.0,0.6,0.6036115566924786,100.0,0.027267068900347885
105,30.0,1000.0,0.7,0.7053142980727496,100.0,0.019574487417147755
106,30.0,1000.0,0.8,0.7826031665455164,100.0,0.021579090720302806
107,30.0,1000.0,0.9,0.915090039957375,100.0,0.020948059154828037
108,50.0,10.0,0.1,,100.0,
109,50.0,10.0,0.2,0.8995032609358031,100.0,0.3045888700256215
110,50.0,10.0,0.3,0.8999574759703002,100.0,0.3271573739377359
111,50.0,10.0,0.4,0.7990483574581085,100.0,0.25756345315339907
112,50.0,10.0,0.5,,100.0,
113,50.0,10.0,0.6,0.7992778276660832,100.0,0.22080731348706606
114,50.0,10.0,0.7,,100.0,
115,50.0,10.0,0.8,,100.0,
116,50.0,10.0,0.9,0.9,100.0,0.19905357458995165
117,50.0,100.0,0.1,0.32380007719501913,100.0,0.2212750783276916
118,50.0,100.0,0.2,0.19999999999951595,100.0,0.1426314608534365
119,50.0,100.0,0.3,0.3299886063681024,100.0,0.11052155711329367
120,50.0,100.0,0.4,0.42001454307084307,100.0,0.09093791786580599
121,50.0,100.0,0.5,0.470009264823143,100.0,0.0875948100742822
122,50.0,100.0,0.6,0.5699992023084438,100.0,0.08059858335212641
123,50.0,100.0,0.7,0.7279553662675572,100.0,0.07397299148166929
124,50.0,100.0,0.8,0.7599991965377018,100.0,0.07829929665415952
125,50.0,100.0,0.9,0.8699961483769728,100.0,0.06333229939132701
126,50.0,1000.0,0.1,0.09380350320557247,100.0,0.06946445545535955
127,50.0,1000.0,0.2,0.19889368021328813,100.0,0.04329198595156975
128,50.0,1000.0,0.3,0.2899981736670773,100.0,0.03834932537020828
129,50.0,1000.0,0.4,0.41102346977185833,100.0,0.028873272010165173
130,50.0,1000.0,0.5,0.5022422060933783,100.0,0.026634981824190985
131,50.0,1000.0,0.6,0.6009715865910442,100.0,0.025490887343305183
132,50.0,1000.0,0.7,0.7049428548434787,100.0,0.024919420455472064
133,50.0,1000.0,0.8,0.8120017838383453,100.0,0.02071941363361191
134,50.0,1000.0,0.9,0.889175760994022,100.0,0.02225325133835722
135,100.0,10.0,0.1,,100.0,
136,100.0,10.0,0.2,,100.0,
137,100.0,10.0,0.3,,100.0,
138,100.0,10.0,0.4,,100.0,
139,100.0,10.0,0.5,,100.0,
140,100.0,10.0,0.6,0.9999999999999998,100.0,0.2692217290045351
141,100.0,10.0,0.7,,100.0,
142,100.0,10.0,0.8,0.8,100.0,0.2164423597601335
143,100.0,10.0,0.9,0.9,100.0,0.2133187020514129
144,100.0,100.0,0.1,0.2785310272249829,100.0,0.24023124749234326
145,100.0,100.0,0.2,0.17990889028674276,100.0,0.16028354197726835
146,100.0,100.0,0.3,0.35,100.0,0.10345960211174739
147,100.0,100.0,0.4,0.4000002433079888,100.0,0.1042598902683116
148,100.0,100.0,0.5,0.47999999666878707,100.0,0.08915766737712669
149,100.0,100.0,0.6,0.5299918450691568,100.0,0.08878843653906578
150,100.0,100.0,0.7,0.6799975243105598,100.0,0.08107971406446203
151,100.0,100.0,0.8,0.8399998138334505,100.0,0.07077883424616856
152,100.0,100.0,0.9,0.8600000384747696,100.0,0.07103220607343792
153,100.0,1000.0,0.1,0.1009999996891525,100.0,0.06916122648765918
154,100.0,1000.0,0.2,0.194005157942331,100.0,0.04377961172791811
155,100.0,1000.0,0.3,0.3079986957113653,100.0,0.03827724034013258
156,100.0,1000.0,0.4,0.3989986652546471,100.0,0.03246260025208039
157,100.0,1000.0,0.5,0.5130000000000002,100.0,0.029224501671785755
158,100.0,1000.0,0.6,0.60199842055119,100.0,0.026029568134973095
159,100.0,1000.0,0.7,0.6520000000000002,100.0,0.02345145407201091
160,100.0,1000.0,0.8,0.7799996690118697,100.0,0.019846909386939435
161,100.0,1000.0,0.9,0.9180000000002014,100.0,0.01976784456447534
