,w,k,init_alpha,is_estimated,list_of_dtv,iters,final_dtv
0,3.0,10.0,0.1,0.6387061305468634,0.0,100.0,0.4015545454912405
1,3.0,10.0,0.2,0.579907905612318,0.0,100.0,0.32285100102368913
2,3.0,10.0,0.3,0.8,0.0,100.0,0.5054293619084123
3,3.0,10.0,0.4,0.4170474104505176,0.0,100.0,0.5133237563816981
4,3.0,10.0,0.5,0.7976441823440902,0.0,100.0,0.4365551083306139
5,3.0,10.0,0.6,0.6999999999706799,0.0,100.0,0.21951628052689498
6,3.0,10.0,0.7,0.46768769365201557,0.0,100.0,0.3695012738040687
7,3.0,10.0,0.8,0.6000000000000382,0.0,100.0,0.3811809343802757
8,3.0,10.0,0.9,0.7941080607195564,0.0,100.0,0.2744051562378976
9,3.0,100.0,0.1,0.41725869218864503,0.0,100.0,0.46154533582271756
10,3.0,100.0,0.2,0.294264084230481,0.0,100.0,0.35582748426101085
11,3.0,100.0,0.3,0.23779436782317517,0.0,100.0,0.23046206432807123
12,3.0,100.0,0.4,0.43744553801155156,0.0,100.0,0.2300840976788985
13,3.0,100.0,0.5,0.3197241189442058,0.0,100.0,0.18530162452879967
14,3.0,100.0,0.6,0.7473131961948968,0.0,100.0,0.08389465017024783
15,3.0,100.0,0.7,0.631113561250578,0.0,100.0,0.08729624868665299
16,3.0,100.0,0.8,0.30318465768071423,0.0,100.0,0.3047301771825201
17,3.0,100.0,0.9,0.3814192652375923,0.0,100.0,0.1456076958843802
18,3.0,1000.0,0.1,0.08415698112445029,0.0,100.0,0.06235131235137683
19,3.0,1000.0,0.2,0.0863832804577073,0.0,100.0,0.18467629156103899
20,3.0,1000.0,0.3,0.2740348532937011,0.0,100.0,0.030848202015262352
21,3.0,1000.0,0.4,0.38839309092767094,0.0,100.0,0.02933455446068369
22,3.0,1000.0,0.5,0.3782418452087287,0.0,100.0,0.06123491894669825
23,3.0,1000.0,0.6,0.6256777785072227,0.0,100.0,0.037190517917964336
24,3.0,1000.0,0.7,0.678880911470095,0.0,100.0,0.0443757574201839
25,3.0,1000.0,0.8,0.7832048723283574,0.0,100.0,0.030926428400229862
26,3.0,1000.0,0.9,0.8206529175058999,0.0,100.0,0.06112171800713154
27,4.0,10.0,0.1,0.28119059884065895,0.0,100.0,0.4907562996892244
28,4.0,10.0,0.2,0.25000076130306365,0.0,100.0,0.490671181220379
29,4.0,10.0,0.3,0.09917040017864368,0.0,100.0,0.6744264091560676
30,4.0,10.0,0.4,0.4455616808613948,0.0,100.0,0.4882806455589808
31,4.0,10.0,0.5,0.47053736929449486,0.0,100.0,0.2636193139991617
