,w,k,init_alpha,alpha,iters,final_dtv
0,4,300,0.3,0.3967708386203835,50,0.08902612835551008
1,4,300,0.3,0.5723300059745109,50,0.10398325569502243
2,4,300,0.3,0.2509931147698342,50,0.07539509468091724
3,4,300,0.3,0.7196535761842691,50,0.2817006291504504
4,4,300,0.3,0.7154122331572687,50,0.14293168312201415
5,4,300,0.3,0.29020067607626854,50,0.053409484226250734
6,4,300,0.3,0.3249834297915773,50,0.04846375206812176
7,4,300,0.3,0.39739700714685366,50,0.06643436222659198
8,4,300,0.3,0.4496381776896677,50,0.12016044941749278
