,w,k,init_alpha,alpha,iters,final_dtv
0,4,300,0.3,0.3980079410413224,50,0.08932846378016375
1,4,300,0.3,0.32653375892629877,50,0.08579925297270455
2,4,300,0.3,0.33280567377064746,50,0.05692295981172779
3,4,300,0.3,0.36758613334416984,50,0.06923866980812436
4,4,300,0.3,0.34730338357001755,50,0.06178443914761296
5,4,300,0.3,0.7490221682780045,50,0.145760287561166
6,4,300,0.3,0.32366001414739076,50,0.062190067164151784
7,4,300,0.3,0.2935532447118598,50,0.05906035479207765
8,4,300,0.3,0.26981552724450286,50,0.1231720293993108
