,w,k,init_alpha,alpha,iters,final_dtv
0,4,300,0.6,0.6657686966290967,50,0.04413462943466665
1,4,300,0.6,0.5329612554026882,50,0.05648262501964278
2,4,300,0.6,0.5099260122479632,50,0.05569063947885154
3,4,300,0.6,0.7060912239527858,50,0.060482689716955716
4,4,300,0.6,0.7887232256430868,50,0.08503865853983669
5,4,300,0.6,0.635886005406153,50,0.03766001368238009
6,4,300,0.6,0.5836009579291533,50,0.040222593848207595
7,4,300,0.6,0.6089762696894061,50,0.054554149333837745
8,4,300,0.6,0.5976386644991316,50,0.0481831705412704
