,w,k,init_alpha,alpha,iters,final_dtv
0,4,300,0.6,0.6654995825575113,50,0.04410851049882343
1,4,300,0.6,0.6085091529383595,50,0.057705533377602404
2,4,300,0.6,0.5806589114208401,50,0.05608672842721581
3,4,300,0.6,0.6730621301906535,50,0.061401948424524525
4,4,300,0.6,0.6656974459141431,50,0.04209117311588089
5,4,300,0.6,0.8079308155627516,50,0.10336632568852999
6,4,300,0.6,0.628596577534261,50,0.05033221830593021
7,4,300,0.6,0.6016574370752028,50,0.04966562892798194
8,4,300,0.6,0.5915843948428408,50,0.05992044521080457
