,w,k,init_alpha,alpha,iters,final_dtv
0,4,300,0.3,0.4320013575387953,40,0.09679067009541908
1,4,300,0.3,0.6252473879299021,40,0.10962324342108994
2,4,300,0.3,0.25102467233974596,40,0.07537251334139036
3,4,300,0.3,0.6962576727664496,40,0.28134039238610364
4,4,300,0.3,0.6996875301816247,40,0.14009442895329968
5,4,300,0.3,0.2930236120182122,40,0.052628397473646685
6,4,300,0.3,0.33097371410613136,40,0.04870714052226596
7,4,300,0.3,0.43748113042478026,40,0.07981783284337474
8,4,300,0.3,0.4710596043142107,40,0.12285203902260788
