,w,k,init_alpha,is_estimated,list_of_dtv,iters,final_dtv
87,10.0,10.0,0.7,no,0.0,100.0,0.33729390869673126
88,10.0,10.0,0.8,no,0.0,100.0,0.33296902652459
89,10.0,10.0,0.9,no,0.0,100.0,0.3018698930489098
90,10.0,100.0,0.1,no,0.0,100.0,0.3707829309025874
91,10.0,100.0,0.2,no,0.0,100.0,0.15615163827974762
92,10.0,100.0,0.3,no,0.0,100.0,0.13116214911712204
93,10.0,100.0,0.4,no,0.0,100.0,0.1465939486537069
94,10.0,100.0,0.5,no,0.0,100.0,0.11090595079432496
95,10.0,100.0,0.6,no,0.0,100.0,0.08869561996260732
96,10.0,100.0,0.7,no,0.0,100.0,0.0688210398265973
97,10.0,100.0,0.8,no,0.0,100.0,0.07169797592624026
98,10.0,100.0,0.9,no,0.0,100.0,0.08160144177652445
99,10.0,1000.0,0.1,no,0.0,100.0,0.047653041693144195
100,10.0,1000.0,0.2,no,0.0,100.0,0.06287295886011532
101,10.0,1000.0,0.3,no,0.0,100.0,0.04328551325471683
102,10.0,1000.0,0.4,no,0.0,100.0,0.03528653711548621
103,10.0,1000.0,0.5,no,0.0,100.0,0.02552561358609354
104,10.0,1000.0,0.6,no,0.0,100.0,0.024576702726606895
105,10.0,1000.0,0.7,no,0.0,100.0,0.02481064808708144
106,10.0,1000.0,0.8,no,0.0,100.0,0.02295614874163737
107,10.0,1000.0,0.9,no,0.0,100.0,0.017292291213272738
108,25.0,10.0,0.1,no,0.0,100.0,0.5048374959014941
109,25.0,10.0,0.2,no,0.0,100.0,0.4709980003024597
110,25.0,10.0,0.3,no,0.0,100.0,0.4506005761666262
111,25.0,10.0,0.4,no,0.0,100.0,0.5316911192389712
112,25.0,10.0,0.5,no,0.0,100.0,0.46344099174504905
113,25.0,10.0,0.6,no,0.0,100.0,0.2976866103915331
114,25.0,10.0,0.7,no,0.0,100.0,0.4170830857407747
115,25.0,10.0,0.8,no,0.0,100.0,0.24056045318176345
116,25.0,10.0,0.9,no,0.0,100.0,0.3141469227566824
117,25.0,100.0,0.1,no,0.0,100.0,0.167369742075814
118,25.0,100.0,0.2,no,0.0,100.0,0.11837034582134867
119,25.0,100.0,0.3,no,0.0,100.0,0.09210877816143588
120,25.0,100.0,0.4,no,0.0,100.0,0.11571143075764657
121,25.0,100.0,0.5,no,0.0,100.0,0.07529408037468502
122,25.0,100.0,0.6,no,0.0,100.0,0.07669909354529328
123,25.0,100.0,0.7,no,0.0,100.0,0.06449871758592188
124,25.0,100.0,0.8,no,0.0,100.0,0.0693449422460649
125,25.0,100.0,0.9,no,0.0,100.0,0.08067783560870294
126,25.0,1000.0,0.1,no,0.0,100.0,0.06491530898996457
127,25.0,1000.0,0.2,no,0.0,100.0,0.04682451335265702
128,25.0,1000.0,0.3,no,0.0,100.0,0.03775220327171703
129,25.0,1000.0,0.4,no,0.0,100.0,0.03013078284106463
130,25.0,1000.0,0.5,no,0.0,100.0,0.025687909795689676
131,25.0,1000.0,0.6,no,0.0,100.0,0.02725769768066553
132,25.0,1000.0,0.7,no,0.0,100.0,0.024893419539911525
133,25.0,1000.0,0.8,no,0.0,100.0,0.02385391358040567
134,25.0,1000.0,0.9,no,0.0,100.0,0.01969136516282817
135,50.0,10.0,0.1,no,0.0,100.0,0.726477383115271
136,50.0,10.0,0.2,no,0.0,100.0,0.30612451834094967
137,50.0,10.0,0.3,no,0.0,100.0,0.45076267820769444
138,50.0,10.0,0.4,no,0.0,100.0,0.6667622935928152
139,50.0,10.0,0.5,no,0.0,100.0,0.3213697442699578
140,50.0,10.0,0.6,no,0.0,100.0,0.5368552305055715
141,50.0,10.0,0.7,no,0.0,100.0,0.40158650408766977
142,50.0,10.0,0.8,no,0.0,100.0,0.3225557134220619
143,50.0,10.0,0.9,no,0.0,100.0,0.4734578463804375
144,50.0,100.0,0.1,no,0.0,100.0,0.25207791932536594
145,50.0,100.0,0.2,no,0.0,100.0,0.15707800897304153
146,50.0,100.0,0.3,no,0.0,100.0,0.10691780753802715
147,50.0,100.0,0.4,no,0.0,100.0,0.10232765349767795
148,50.0,100.0,0.5,no,0.0,100.0,0.0918458207698227
149,50.0,100.0,0.6,no,0.0,100.0,0.07643531762712732
150,50.0,100.0,0.7,no,0.0,100.0,0.08318730503983134
151,50.0,100.0,0.8,no,0.0,100.0,0.07178548933902808
152,50.0,100.0,0.9,no,0.0,100.0,0.06552025614797038
153,50.0,1000.0,0.1,no,0.0,100.0,0.05901760550654304
154,50.0,1000.0,0.2,no,0.0,100.0,0.04351631156519127
155,50.0,1000.0,0.3,no,0.0,100.0,0.040192944594132175
156,50.0,1000.0,0.4,no,0.0,100.0,0.03323566618121422
157,50.0,1000.0,0.5,no,0.0,100.0,0.03137464670734191
158,50.0,1000.0,0.6,no,0.0,100.0,0.025652674533893315
159,50.0,1000.0,0.7,no,0.0,100.0,0.020210789849831802
160,50.0,1000.0,0.8,no,0.0,100.0,0.025308630939474292
161,50.0,1000.0,0.9,no,0.0,100.0,0.02092932330815663
162,70.0,10.0,0.1,no,0.0,100.0,0.7556065103263971
163,70.0,10.0,0.2,no,0.0,100.0,0.6729219761176141
164,70.0,10.0,0.3,no,0.0,100.0,0.3310338489836014
165,70.0,10.0,0.4,no,0.0,100.0,0.6115713049529627
166,70.0,10.0,0.5,no,0.0,100.0,0.4827622345229123
167,70.0,10.0,0.6,no,0.0,100.0,0.6425859522543522
168,70.0,10.0,0.7,no,0.0,100.0,0.6525636123530709
169,70.0,10.0,0.8,no,0.0,100.0,0.298825374409079
170,70.0,10.0,0.9,no,0.0,100.0,0.6518375347628923
171,70.0,100.0,0.1,no,0.0,100.0,0.36771872027069874
172,70.0,100.0,0.2,no,0.0,100.0,0.1508779698854491
173,70.0,100.0,0.3,no,0.0,100.0,0.4606543532502616
174,70.0,100.0,0.4,no,0.0,100.0,0.1377714426046245
175,70.0,100.0,0.5,no,0.0,100.0,0.24443505604841315
176,70.0,100.0,0.6,no,0.0,100.0,0.08023641012801411
177,70.0,100.0,0.7,no,0.0,100.0,0.07057542515048376
178,70.0,100.0,0.8,no,0.0,100.0,0.07618896159295808
179,70.0,100.0,0.9,no,0.0,100.0,0.06586437758398844
180,70.0,1000.0,0.1,no,0.0,100.0,0.06391847531571014
181,70.0,1000.0,0.2,no,0.0,100.0,0.044714329575503156
182,70.0,1000.0,0.3,no,0.0,100.0,0.0382343739354271
183,70.0,1000.0,0.4,no,0.0,100.0,0.032333794246208344
184,70.0,1000.0,0.5,no,0.0,100.0,0.02861597661738305
