,w,k,init_alpha,is_estimated,list_of_dtv,iters,final_dtv
97,10.0,100.0,0.8,no,0.0,100.0,0.08006554496631249
98,10.0,100.0,0.9,no,0.0,100.0,0.05834701814228546
99,10.0,1000.0,0.1,no,0.0,100.0,0.06920441578655173
100,10.0,1000.0,0.2,no,0.0,100.0,0.05546973210907588
101,10.0,1000.0,0.3,no,0.0,100.0,0.03729349447315729
102,10.0,1000.0,0.4,no,0.0,100.0,0.033131771337976644
103,10.0,1000.0,0.5,no,0.0,100.0,0.022288873976302487
104,10.0,1000.0,0.6,no,0.0,100.0,0.029934515773028848
105,10.0,1000.0,0.7,no,0.0,100.0,0.021944949746107636
106,10.0,1000.0,0.8,no,0.0,100.0,0.01836745022728181
107,10.0,1000.0,0.9,no,0.0,100.0,0.01941220810101592
108,25.0,10.0,0.1,no,0.0,100.0,0.4008499965206353
109,25.0,10.0,0.2,no,0.0,100.0,0.6438320574531949
110,25.0,10.0,0.3,no,0.0,100.0,0.646106431680236
111,25.0,10.0,0.4,no,0.0,100.0,0.4375952682398203
112,25.0,10.0,0.5,no,0.0,100.0,0.639799209054506
113,25.0,10.0,0.6,no,0.0,100.0,0.6302743569079036
114,25.0,10.0,0.7,no,0.0,100.0,0.35978069534626855
115,25.0,10.0,0.8,no,0.0,100.0,0.6503876509817612
116,25.0,10.0,0.9,no,0.0,100.0,0.6576855289237407
117,25.0,100.0,0.1,no,0.0,100.0,0.4066205082421249
118,25.0,100.0,0.2,no,0.0,100.0,0.1417153979351774
119,25.0,100.0,0.3,no,0.0,100.0,0.13081864199089824
120,25.0,100.0,0.4,no,0.0,100.0,0.13424594105298637
121,25.0,100.0,0.5,no,0.0,100.0,0.0950702579637009
122,25.0,100.0,0.6,no,0.0,100.0,0.08871181971624541
123,25.0,100.0,0.7,no,0.0,100.0,0.07667902330299813
124,25.0,100.0,0.8,no,0.0,100.0,0.06488354184102083
125,25.0,100.0,0.9,no,0.0,100.0,0.07257351853284169
126,25.0,1000.0,0.1,no,0.0,100.0,0.07214459965036729
127,25.0,1000.0,0.2,no,0.0,100.0,0.04403779112400955
128,25.0,1000.0,0.3,no,0.0,100.0,0.03430647465216388
129,25.0,1000.0,0.4,no,0.0,100.0,0.03499936072258762
130,25.0,1000.0,0.5,no,0.0,100.0,0.028028752235353054
131,25.0,1000.0,0.6,no,0.0,100.0,0.026648223845600425
132,25.0,1000.0,0.7,no,0.0,100.0,0.027455362635233363
133,25.0,1000.0,0.8,no,0.0,100.0,0.020090349843769416
134,25.0,1000.0,0.9,no,0.0,100.0,0.0207333237153948
135,50.0,10.0,0.1,no,0.0,100.0,0.6543004465071632
136,50.0,10.0,0.2,no,0.0,100.0,0.7166076403056255
137,50.0,10.0,0.3,no,0.0,100.0,0.6620457400113411
138,50.0,10.0,0.4,no,0.0,100.0,0.43663154120123693
139,50.0,10.0,0.5,no,0.0,100.0,0.7224296767312436
140,50.0,10.0,0.6,no,0.0,100.0,0.6871036658205495
141,50.0,10.0,0.7,no,0.0,100.0,0.4633322870363339
142,50.0,10.0,0.8,no,0.0,100.0,0.6585279484488705
143,50.0,10.0,0.9,no,0.0,100.0,0.6388362057145319
144,50.0,100.0,0.1,no,0.0,100.0,0.313378384381058
145,50.0,100.0,0.2,no,0.0,100.0,0.20613714529342061
146,50.0,100.0,0.3,no,0.0,100.0,0.09897927516951918
147,50.0,100.0,0.4,no,0.0,100.0,0.13742751423648208
148,50.0,100.0,0.5,no,0.0,100.0,0.18943837872072927
149,50.0,100.0,0.6,no,0.0,100.0,0.07049112046322561
150,50.0,100.0,0.7,no,0.0,100.0,0.3714441432679816
151,50.0,100.0,0.8,no,0.0,100.0,0.29331446152144386
152,50.0,100.0,0.9,no,0.0,100.0,0.06471438587365362
153,50.0,1000.0,0.1,no,0.0,100.0,0.05464873305119299
154,50.0,1000.0,0.2,no,0.0,100.0,0.04741243579969484
155,50.0,1000.0,0.3,no,0.0,100.0,0.0346092451674554
156,50.0,1000.0,0.4,no,0.0,100.0,0.030385641015570942
157,50.0,1000.0,0.5,no,0.0,100.0,0.03290149846094536
158,50.0,1000.0,0.6,no,0.0,100.0,0.028028705919244626
159,50.0,1000.0,0.7,no,0.0,100.0,0.02028981544046542
160,50.0,1000.0,0.8,no,0.0,100.0,0.023969277899796394
161,50.0,1000.0,0.9,no,0.0,100.0,0.022251281388127566
162,70.0,10.0,0.1,no,0.0,100.0,0.6572526657956239
163,70.0,10.0,0.2,no,0.0,100.0,0.5844363888531026
164,70.0,10.0,0.3,no,0.0,100.0,0.5039014706386086
165,70.0,10.0,0.4,no,0.0,100.0,0.6610371573839663
