,w,k,init_alpha,alpha,iters,final_dtv
0,4,300,0.6,0.6674557415608318,40,0.04429760421912045
1,4,300,0.6,0.5716214246453615,40,0.049028230561960054
2,4,300,0.6,0.5099460630320195,40,0.05568387624991502
3,4,300,0.6,0.6959688432719376,40,0.058400722217078184
4,4,300,0.6,0.7745214345639788,40,0.08249870327756903
5,4,300,0.6,0.6356033002057669,40,0.03763216153997664
6,4,300,0.6,0.5834752447602377,40,0.040247629470957655
7,4,300,0.6,0.6120800531688927,40,0.05499584274944325
8,4,300,0.6,0.5987321356365253,40,0.04805870538516775
